,Rank,NOC,Gold,Silver,Bronze,Total,Year,Athlete_Count,Host,game_sum
1513,0.0,Iraq,0.0,0.0,0.0,0.0,2020,0.0,0.0,3
1514,0.0,Iraq,0.0,0.0,0.0,0.0,2024,0.0,0.0,5
1595,0.0,Libya,0.0,0.0,0.0,0.0,1996,0.0,0.0,2
1596,0.0,Libya,0.0,0.0,0.0,0.0,1980,0.0,0.0,5
1597,0.0,Libya,0.0,0.0,0.0,0.0,1988,0.0,0.0,3
1598,0.0,Libya,0.0,0.0,0.0,0.0,2004,0.0,0.0,5
1599,0.0,Libya,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
1600,0.0,Libya,0.0,0.0,0.0,0.0,1992,0.0,0.0,4
1601,0.0,Libya,0.0,0.0,0.0,0.0,2008,0.0,0.0,4
1602,0.0,Libya,0.0,0.0,0.0,0.0,2016,0.0,0.0,6
1603,0.0,Libya,0.0,0.0,0.0,0.0,2012,0.0,0.0,3
1604,0.0,Libya,0.0,0.0,0.0,0.0,1968,0.0,0.0,1
1605,0.0,Libya,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
1606,0.0,Libya,0.0,0.0,0.0,0.0,2024,0.0,0.0,5
1619,0.0,Palestine,0.0,0.0,0.0,0.0,2008,0.0,0.0,2
1620,0.0,Palestine,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
1621,0.0,Palestine,0.0,0.0,0.0,0.0,2012,0.0,0.0,3
1622,0.0,Palestine,0.0,0.0,0.0,0.0,2004,0.0,0.0,2
1623,0.0,Palestine,0.0,0.0,0.0,0.0,2016,0.0,0.0,4
1624,0.0,Palestine,0.0,0.0,0.0,0.0,2000,0.0,0.0,2
1625,0.0,Palestine,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
1626,0.0,Palestine,0.0,0.0,0.0,0.0,2024,0.0,0.0,6
1627,0.0,Comoros,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
1628,0.0,Comoros,0.0,0.0,0.0,0.0,2008,0.0,0.0,2
1629,0.0,Comoros,0.0,0.0,0.0,0.0,2012,0.0,0.0,2
1630,0.0,Comoros,0.0,0.0,0.0,0.0,2016,0.0,0.0,2
1631,0.0,Comoros,0.0,0.0,0.0,0.0,2000,0.0,0.0,1
1632,0.0,Comoros,0.0,0.0,0.0,0.0,2004,0.0,0.0,2
1633,0.0,Comoros,0.0,0.0,0.0,0.0,2020,0.0,0.0,2
1634,0.0,Comoros,0.0,0.0,0.0,0.0,2024,0.0,0.0,3
1635,0.0,Brunei,0.0,0.0,0.0,0.0,2016,0.0,0.0,2
1636,0.0,Brunei,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
1637,0.0,Brunei,0.0,0.0,0.0,0.0,2000,0.0,0.0,2
1638,0.0,Brunei,0.0,0.0,0.0,0.0,2004,0.0,0.0,1
1639,0.0,Brunei,0.0,0.0,0.0,0.0,2012,0.0,0.0,2
1640,0.0,Brunei,0.0,0.0,0.0,0.0,2020,0.0,0.0,2
1641,0.0,Brunei,0.0,0.0,0.0,0.0,2024,0.0,0.0,2
1671,0.0,Maldives,0.0,0.0,0.0,0.0,1988,0.0,0.0,1
1672,0.0,Maldives,0.0,0.0,0.0,0.0,2012,0.0,0.0,3
1673,0.0,Maldives,0.0,0.0,0.0,0.0,2000,0.0,0.0,2
1674,0.0,Maldives,0.0,0.0,0.0,0.0,2004,0.0,0.0,2
1675,0.0,Maldives,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
1676,0.0,Maldives,0.0,0.0,0.0,0.0,1996,0.0,0.0,2
1677,0.0,Maldives,0.0,0.0,0.0,0.0,2008,0.0,0.0,2
1678,0.0,Maldives,0.0,0.0,0.0,0.0,2016,0.0,0.0,2
1679,0.0,Maldives,0.0,0.0,0.0,0.0,2020,0.0,0.0,3
1680,0.0,Maldives,0.0,0.0,0.0,0.0,2024,0.0,0.0,4
1738,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,1980,0.0,0.0,3
1739,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,1996,0.0,0.0,3
1740,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
1741,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,2004,0.0,0.0,4
1742,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,2008,0.0,0.0,3
1743,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,2012,0.0,0.0,3
1744,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,1972,0.0,0.0,1
1745,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,1984,0.0,0.0,2
1746,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,1988,0.0,0.0,1
1747,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
1748,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,2016,0.0,0.0,5
1749,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,1964,0.0,0.0,1
1750,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,2020,0.0,0.0,2
1751,0.0,Republic of the Congo,0.0,0.0,0.0,0.0,2024,0.0,0.0,3
1762,0.0,Monaco,0.0,0.0,0.0,0.0,1924,0.0,0.0,4
1763,0.0,Monaco,0.0,0.0,0.0,0.0,1936,0.0,0.0,2
1764,0.0,Monaco,0.0,0.0,0.0,0.0,1948,0.0,0.0,1
1765,0.0,Monaco,0.0,0.0,0.0,0.0,1952,0.0,0.0,2
1766,0.0,Monaco,0.0,0.0,0.0,0.0,1984,0.0,0.0,5
1767,0.0,Monaco,0.0,0.0,0.0,0.0,2012,0.0,0.0,6
1768,0.0,Monaco,0.0,0.0,0.0,0.0,1920,0.0,0.0,2
1769,0.0,Monaco,0.0,0.0,0.0,0.0,1928,0.0,0.0,4
1770,0.0,Monaco,0.0,0.0,0.0,0.0,1968,0.0,0.0,1
1771,0.0,Monaco,0.0,0.0,0.0,0.0,1972,0.0,0.0,2
1772,0.0,Monaco,0.0,0.0,0.0,0.0,1976,0.0,0.0,3
1773,0.0,Monaco,0.0,0.0,0.0,0.0,1960,0.0,0.0,3
1774,0.0,Monaco,0.0,0.0,0.0,0.0,1988,0.0,0.0,7
1775,0.0,Monaco,0.0,0.0,0.0,0.0,1964,0.0,0.0,1
1776,0.0,Monaco,0.0,0.0,0.0,0.0,2000,0.0,0.0,4
1777,0.0,Monaco,0.0,0.0,0.0,0.0,2016,0.0,0.0,3
1778,0.0,Monaco,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
1779,0.0,Monaco,0.0,0.0,0.0,0.0,1996,0.0,0.0,3
1780,0.0,Monaco,0.0,0.0,0.0,0.0,2004,0.0,0.0,3
1781,0.0,Monaco,0.0,0.0,0.0,0.0,2008,0.0,0.0,5
1782,0.0,Monaco,0.0,0.0,0.0,0.0,1932,0.0,0.0,1
1783,0.0,Monaco,0.0,0.0,0.0,0.0,2020,0.0,0.0,5
1784,0.0,Monaco,0.0,0.0,0.0,0.0,2024,0.0,0.0,6
1847,0.0,Benin,0.0,0.0,0.0,0.0,1980,0.0,0.0,2
1848,0.0,Benin,0.0,0.0,0.0,0.0,1984,0.0,0.0,1
1849,0.0,Benin,0.0,0.0,0.0,0.0,1972,0.0,0.0,2
1850,0.0,Benin,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
1851,0.0,Benin,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
1852,0.0,Benin,0.0,0.0,0.0,0.0,2012,0.0,0.0,4
1853,0.0,Benin,0.0,0.0,0.0,0.0,2004,0.0,0.0,2
1854,0.0,Benin,0.0,0.0,0.0,0.0,1988,0.0,0.0,2
1855,0.0,Benin,0.0,0.0,0.0,0.0,2016,0.0,0.0,4
1856,0.0,Benin,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
1857,0.0,Benin,0.0,0.0,0.0,0.0,2008,0.0,0.0,3
1858,0.0,Benin,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
1859,0.0,Benin,0.0,0.0,0.0,0.0,2024,0.0,0.0,3
1875,0.0,Somalia,0.0,0.0,0.0,0.0,1972,0.0,0.0,1
1876,0.0,Somalia,0.0,0.0,0.0,0.0,2004,0.0,0.0,1
1877,0.0,Somalia,0.0,0.0,0.0,0.0,1988,0.0,0.0,1
1878,0.0,Somalia,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
1879,0.0,Somalia,0.0,0.0,0.0,0.0,2000,0.0,0.0,1
1880,0.0,Somalia,0.0,0.0,0.0,0.0,1984,0.0,0.0,1
1881,0.0,Somalia,0.0,0.0,0.0,0.0,2012,0.0,0.0,1
1882,0.0,Somalia,0.0,0.0,0.0,0.0,2008,0.0,0.0,1
1883,0.0,Somalia,0.0,0.0,0.0,0.0,2016,0.0,0.0,1
1884,0.0,Somalia,0.0,0.0,0.0,0.0,2020,0.0,0.0,2
1885,0.0,Somalia,0.0,0.0,0.0,0.0,2024,0.0,0.0,1
1898,0.0,Mali,0.0,0.0,0.0,0.0,2004,0.0,0.0,4
1899,0.0,Mali,0.0,0.0,0.0,0.0,1968,0.0,0.0,2
1900,0.0,Mali,0.0,0.0,0.0,0.0,2008,0.0,0.0,4
1901,0.0,Mali,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
1902,0.0,Mali,0.0,0.0,0.0,0.0,1972,0.0,0.0,2
1903,0.0,Mali,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
1904,0.0,Mali,0.0,0.0,0.0,0.0,2012,0.0,0.0,4
1905,0.0,Mali,0.0,0.0,0.0,0.0,1988,0.0,0.0,3
1906,0.0,Mali,0.0,0.0,0.0,0.0,1964,0.0,0.0,1
1907,0.0,Mali,0.0,0.0,0.0,0.0,2016,0.0,0.0,4
1908,0.0,Mali,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
1909,0.0,Mali,0.0,0.0,0.0,0.0,1980,0.0,0.0,3
1910,0.0,Mali,0.0,0.0,0.0,0.0,1984,0.0,0.0,3
1911,0.0,Mali,0.0,0.0,0.0,0.0,2020,0.0,0.0,3
1912,0.0,Mali,0.0,0.0,0.0,0.0,2024,0.0,0.0,5
2006,0.0,Angola,0.0,0.0,0.0,0.0,2008,0.0,0.0,6
2007,0.0,Angola,0.0,0.0,0.0,0.0,2016,0.0,0.0,7
2008,0.0,Angola,0.0,0.0,0.0,0.0,2000,0.0,0.0,5
2009,0.0,Angola,0.0,0.0,0.0,0.0,2004,0.0,0.0,5
2010,0.0,Angola,0.0,0.0,0.0,0.0,2012,0.0,0.0,6
2011,0.0,Angola,0.0,0.0,0.0,0.0,1988,0.0,0.0,4
2012,0.0,Angola,0.0,0.0,0.0,0.0,1996,0.0,0.0,5
2013,0.0,Angola,0.0,0.0,0.0,0.0,1980,0.0,0.0,3
2014,0.0,Angola,0.0,0.0,0.0,0.0,1992,0.0,0.0,6
2015,0.0,Angola,0.0,0.0,0.0,0.0,2020,0.0,0.0,5
2016,0.0,Angola,0.0,0.0,0.0,0.0,2024,0.0,0.0,7
2039,0.0,Bangladesh,0.0,0.0,0.0,0.0,2008,0.0,0.0,3
2040,0.0,Bangladesh,0.0,0.0,0.0,0.0,2016,0.0,0.0,5
2041,0.0,Bangladesh,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
2042,0.0,Bangladesh,0.0,0.0,0.0,0.0,2004,0.0,0.0,3
2043,0.0,Bangladesh,0.0,0.0,0.0,0.0,1988,0.0,0.0,2
2044,0.0,Bangladesh,0.0,0.0,0.0,0.0,1996,0.0,0.0,3
2045,0.0,Bangladesh,0.0,0.0,0.0,0.0,1992,0.0,0.0,3
2046,0.0,Bangladesh,0.0,0.0,0.0,0.0,2012,0.0,0.0,5
2047,0.0,Bangladesh,0.0,0.0,0.0,0.0,1984,0.0,0.0,1
2048,0.0,Bangladesh,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
2049,0.0,Bangladesh,0.0,0.0,0.0,0.0,2024,0.0,0.0,4
2067,0.0,El Salvador,0.0,0.0,0.0,0.0,1968,0.0,0.0,7
2068,0.0,El Salvador,0.0,0.0,0.0,0.0,2016,0.0,0.0,6
2069,0.0,El Salvador,0.0,0.0,0.0,0.0,2012,0.0,0.0,7
2070,0.0,El Salvador,0.0,0.0,0.0,0.0,1972,0.0,0.0,2
2071,0.0,El Salvador,0.0,0.0,0.0,0.0,2008,0.0,0.0,9
2072,0.0,El Salvador,0.0,0.0,0.0,0.0,1988,0.0,0.0,4
2073,0.0,El Salvador,0.0,0.0,0.0,0.0,1996,0.0,0.0,5
2074,0.0,El Salvador,0.0,0.0,0.0,0.0,1984,0.0,0.0,5
2075,0.0,El Salvador,0.0,0.0,0.0,0.0,1932,0.0,0.0,1
2076,0.0,El Salvador,0.0,0.0,0.0,0.0,2000,0.0,0.0,7
2077,0.0,El Salvador,0.0,0.0,0.0,0.0,2004,0.0,0.0,6
2078,0.0,El Salvador,0.0,0.0,0.0,0.0,1992,0.0,0.0,3
2079,0.0,El Salvador,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
2080,0.0,El Salvador,0.0,0.0,0.0,0.0,2024,0.0,0.0,7
2102,0.0,Honduras,0.0,0.0,0.0,0.0,2016,0.0,0.0,7
2103,0.0,Honduras,0.0,0.0,0.0,0.0,2008,0.0,0.0,5
2104,0.0,Honduras,0.0,0.0,0.0,0.0,1988,0.0,0.0,3
2105,0.0,Honduras,0.0,0.0,0.0,0.0,1996,0.0,0.0,4
2106,0.0,Honduras,0.0,0.0,0.0,0.0,1984,0.0,0.0,3
2107,0.0,Honduras,0.0,0.0,0.0,0.0,1968,0.0,0.0,1
2108,0.0,Honduras,0.0,0.0,0.0,0.0,2004,0.0,0.0,4
2109,0.0,Honduras,0.0,0.0,0.0,0.0,1992,0.0,0.0,4
2110,0.0,Honduras,0.0,0.0,0.0,0.0,2012,0.0,0.0,8
2111,0.0,Honduras,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
2112,0.0,Honduras,0.0,0.0,0.0,0.0,1976,0.0,0.0,1
2113,0.0,Honduras,0.0,0.0,0.0,0.0,2020,0.0,0.0,5
2114,0.0,Honduras,0.0,0.0,0.0,0.0,2024,0.0,0.0,3
2144,0.0,Seychelles,0.0,0.0,0.0,0.0,1992,0.0,0.0,4
2145,0.0,Seychelles,0.0,0.0,0.0,0.0,1980,0.0,0.0,2
2146,0.0,Seychelles,0.0,0.0,0.0,0.0,2008,0.0,0.0,6
2147,0.0,Seychelles,0.0,0.0,0.0,0.0,2012,0.0,0.0,4
2148,0.0,Seychelles,0.0,0.0,0.0,0.0,2016,0.0,0.0,6
2149,0.0,Seychelles,0.0,0.0,0.0,0.0,2004,0.0,0.0,7
2150,0.0,Seychelles,0.0,0.0,0.0,0.0,1996,0.0,0.0,5
2151,0.0,Seychelles,0.0,0.0,0.0,0.0,2000,0.0,0.0,5
2152,0.0,Seychelles,0.0,0.0,0.0,0.0,1984,0.0,0.0,2
2153,0.0,Seychelles,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
2154,0.0,Seychelles,0.0,0.0,0.0,0.0,2024,0.0,0.0,2
2155,0.0,Czechia,0.0,0.0,0.0,0.0,1976,0.0,0.0,16
2156,0.0,Czechia,0.0,0.0,0.0,0.0,1980,0.0,0.0,21
2157,0.0,Czechia,0.0,0.0,0.0,0.0,1988,0.0,0.0,17
2158,0.0,Czechia,0.0,0.0,0.0,0.0,1992,0.0,0.0,25
2159,0.0,Czechia,0.0,0.0,0.0,0.0,1968,0.0,0.0,14
2160,0.0,Czechia,0.0,0.0,0.0,0.0,1972,0.0,0.0,17
2161,0.0,Czechia,0.0,0.0,0.0,0.0,2004,0.0,0.0,20
2162,0.0,Czechia,0.0,0.0,0.0,0.0,2000,0.0,0.0,20
2163,0.0,Czechia,0.0,0.0,0.0,0.0,1964,0.0,0.0,13
2164,0.0,Czechia,0.0,0.0,0.0,0.0,1924,0.0,0.0,16
2165,0.0,Czechia,0.0,0.0,0.0,0.0,1956,0.0,0.0,10
2166,0.0,Czechia,0.0,0.0,0.0,0.0,1928,0.0,0.0,14
2167,0.0,Czechia,0.0,0.0,0.0,0.0,2008,0.0,0.0,21
2168,0.0,Czechia,0.0,0.0,0.0,0.0,2012,0.0,0.0,21
2169,0.0,Czechia,0.0,0.0,0.0,0.0,2016,0.0,0.0,20
2170,0.0,Czechia,0.0,0.0,0.0,0.0,1920,0.0,0.0,13
2171,0.0,Czechia,0.0,0.0,0.0,0.0,1952,0.0,0.0,11
2172,0.0,Czechia,0.0,0.0,0.0,0.0,1936,0.0,0.0,17
2173,0.0,Czechia,0.0,0.0,0.0,0.0,1996,0.0,0.0,17
2174,0.0,Czechia,0.0,0.0,0.0,0.0,1932,0.0,0.0,4
2175,0.0,Czechia,0.0,0.0,0.0,0.0,1948,0.0,0.0,11
2176,0.0,Czechia,0.0,0.0,0.0,0.0,1912,0.0,0.0,8
2177,0.0,Czechia,0.0,0.0,0.0,0.0,1960,0.0,0.0,13
2178,0.0,Czechia,0.0,0.0,0.0,0.0,1908,0.0,0.0,5
2179,0.0,Czechia,0.0,0.0,0.0,0.0,1906,0.0,0.0,6
2180,0.0,Czechia,0.0,0.0,0.0,0.0,1900,0.0,0.0,4
2181,0.0,Czechia,0.0,0.0,0.0,0.0,2020,0.0,0.0,26
2182,0.0,Czechia,0.0,0.0,0.0,0.0,2024,0.0,0.0,27
2207,0.0,Mauritania,0.0,0.0,0.0,0.0,1988,0.0,0.0,2
2208,0.0,Mauritania,0.0,0.0,0.0,0.0,1992,0.0,0.0,1
2209,0.0,Mauritania,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
2210,0.0,Mauritania,0.0,0.0,0.0,0.0,2016,0.0,0.0,1
2211,0.0,Mauritania,0.0,0.0,0.0,0.0,2008,0.0,0.0,1
2212,0.0,Mauritania,0.0,0.0,0.0,0.0,1984,0.0,0.0,1
2213,0.0,Mauritania,0.0,0.0,0.0,0.0,2000,0.0,0.0,1
2214,0.0,Mauritania,0.0,0.0,0.0,0.0,2012,0.0,0.0,1
2215,0.0,Mauritania,0.0,0.0,0.0,0.0,2004,0.0,0.0,1
2216,0.0,Mauritania,0.0,0.0,0.0,0.0,2020,0.0,0.0,1
2217,0.0,Mauritania,0.0,0.0,0.0,0.0,2024,0.0,0.0,2
2218,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2012,0.0,0.0,1
2219,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2016,0.0,0.0,1
2220,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
2221,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2000,0.0,0.0,1
2222,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2004,0.0,0.0,1
2223,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2008,0.0,0.0,1
2224,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2020,0.0,0.0,1
2225,0.0,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2024,0.0,0.0,2
2244,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,1988,0.0,0.0,1
2245,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,2012,0.0,0.0,2
2246,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,2008,0.0,0.0,1
2247,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,2016,0.0,0.0,2
2248,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
2249,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,2000,0.0,0.0,2
2250,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,1992,0.0,0.0,1
2251,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,2004,0.0,0.0,2
2252,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,2020,0.0,0.0,2
2253,0.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,2024,0.0,0.0,2
2256,0.0,Liberia,0.0,0.0,0.0,0.0,2008,0.0,0.0,1
2257,0.0,Liberia,0.0,0.0,0.0,0.0,2012,0.0,0.0,1
2258,0.0,Liberia,0.0,0.0,0.0,0.0,1988,0.0,0.0,2
2259,0.0,Liberia,0.0,0.0,0.0,0.0,2000,0.0,0.0,1
2260,0.0,Liberia,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
2261,0.0,Liberia,0.0,0.0,0.0,0.0,1984,0.0,0.0,1
2262,0.0,Liberia,0.0,0.0,0.0,0.0,1972,0.0,0.0,1
2263,0.0,Liberia,0.0,0.0,0.0,0.0,1956,0.0,0.0,1
2264,0.0,Liberia,0.0,0.0,0.0,0.0,1960,0.0,0.0,1
2265,0.0,Liberia,0.0,0.0,0.0,0.0,1964,0.0,0.0,1
2266,0.0,Liberia,0.0,0.0,0.0,0.0,2016,0.0,0.0,1
2267,0.0,Liberia,0.0,0.0,0.0,0.0,2004,0.0,0.0,1
2268,0.0,Liberia,0.0,0.0,0.0,0.0,2020,0.0,0.0,1
2269,0.0,Liberia,0.0,0.0,0.0,0.0,2024,0.0,0.0,1
2282,0.0,Nepal,0.0,0.0,0.0,0.0,2008,0.0,0.0,6
2283,0.0,Nepal,0.0,0.0,0.0,0.0,2004,0.0,0.0,4
2284,0.0,Nepal,0.0,0.0,0.0,0.0,1988,0.0,0.0,5
2285,0.0,Nepal,0.0,0.0,0.0,0.0,1980,0.0,0.0,3
2286,0.0,Nepal,0.0,0.0,0.0,0.0,2016,0.0,0.0,5
2287,0.0,Nepal,0.0,0.0,0.0,0.0,1996,0.0,0.0,4
2288,0.0,Nepal,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
2289,0.0,Nepal,0.0,0.0,0.0,0.0,2012,0.0,0.0,3
2290,0.0,Nepal,0.0,0.0,0.0,0.0,1984,0.0,0.0,3
2291,0.0,Nepal,0.0,0.0,0.0,0.0,1964,0.0,0.0,2
2292,0.0,Nepal,0.0,0.0,0.0,0.0,1972,0.0,0.0,1
2293,0.0,Nepal,0.0,0.0,0.0,0.0,1976,0.0,0.0,1
2294,0.0,Nepal,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
2295,0.0,Nepal,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
2296,0.0,Nepal,0.0,0.0,0.0,0.0,2024,0.0,0.0,6
2304,0.0,Palau,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
2305,0.0,Palau,0.0,0.0,0.0,0.0,2012,0.0,0.0,4
2306,0.0,Palau,0.0,0.0,0.0,0.0,2016,0.0,0.0,4
2307,0.0,Palau,0.0,0.0,0.0,0.0,2008,0.0,0.0,3
2308,0.0,Palau,0.0,0.0,0.0,0.0,2004,0.0,0.0,3
2309,0.0,Palau,0.0,0.0,0.0,0.0,2020,0.0,0.0,2
2310,0.0,Palau,0.0,0.0,0.0,0.0,2024,0.0,0.0,2
2349,0.0,American Samoa,0.0,0.0,0.0,0.0,2008,0.0,0.0,3
2350,0.0,American Samoa,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
2351,0.0,American Samoa,0.0,0.0,0.0,0.0,1996,0.0,0.0,5
2352,0.0,American Samoa,0.0,0.0,0.0,0.0,2012,0.0,0.0,3
2353,0.0,American Samoa,0.0,0.0,0.0,0.0,1988,0.0,0.0,4
2354,0.0,American Samoa,0.0,0.0,0.0,0.0,2016,0.0,0.0,3
2355,0.0,American Samoa,0.0,0.0,0.0,0.0,2004,0.0,0.0,2
2356,0.0,American Samoa,0.0,0.0,0.0,0.0,2000,0.0,0.0,3
2357,0.0,American Samoa,0.0,0.0,0.0,0.0,2020,0.0,0.0,4
2358,0.0,American Samoa,0.0,0.0,0.0,0.0,2024,0.0,0.0,2
2369,0.0,Rwanda,0.0,0.0,0.0,0.0,2012,0.0,0.0,4
2370,0.0,Rwanda,0.0,0.0,0.0,0.0,1984,0.0,0.0,1
2371,0.0,Rwanda,0.0,0.0,0.0,0.0,2016,0.0,0.0,3
2372,0.0,Rwanda,0.0,0.0,0.0,0.0,2004,0.0,0.0,2
2373,0.0,Rwanda,0.0,0.0,0.0,0.0,2008,0.0,0.0,2
